x,y,z
-145158.6160339175,-113259.7478565355,7223.39646227298
-54942.03429707989,11921.05183086596,6350.359220178081
-103604.9834173254,-30280.20618905639,23757.396484375
-82542.80286152138,-37948.43457227464,8479.24372567661
-189019.4573525423,-14690.99262684339,6036.713867187501
-115358.3936688303,-80857.61864454954,6436.35498046875
-75334.02388824277,-46964.73437510808,7208.404025315384
-66655.37716803911,23522.69842864911,6351.433202267061
-101651.2955930949,12779.77662383739,6345.668815871246
-163349.663492743,-28350.17425620624,42344.96719940762
-104512.7470598281,-16950.39919842094,31631.53658701362
-44342.5932711026,-61598.72477220636,7996.596996258997
-134883.0068579625,-121202.1173051921,6075.185881330354
-33196.56680958811,-75989.35649624238,6257.360158764778
-115872.2141270568,-129696.0444301128,1777.755493164063
-105277.0752553928,-15374.91093540437,28114.31420053315
-144143.1689336398,-26232.37631750131,46391.36328125
-122520.6021756064,-26120.14730957855,6440.94873046875
-133359.5154164106,-67746.80723431599,23008.72780012777
-90604.86918876169,-62539.99387043894,23402.69140625
-64796.19464693002,-67907.3329883265,6966.893357271554
-116410.5056721914,-40577.47465949608,26181.88237408862
-117903.5468168578,-5956.646773269978,32559.33345149071
-75755.05554374326,-47290.31104546029,7202.815200464507
-87003.81365180892,555.9559028889331,6254.459740181355
-86446.06673967732,-69053.96814563409,6406.693180438177
-176437.3194132404,-78304.88377699134,26748.04043851979
-87527.63868879786,6198.161792722836,6246.479430861693
-105566.4678708315,-74626.63838532956,10300.04421743917
-48403.72757351063,-65866.59025149953,7971.281570917771
-91518.04263252807,-79627.15732593703,6260.295220289018
-156980.9328484112,-21707.93360558117,46391.36328125
-74096.80255034939,19046.14527862022,6324.546000678374
-137434.5044222557,-56250.65610427095,6036.7138671875
-129951.077411105,-27807.69281723006,6440.94873046875
-92263.98625221678,-10412.02263483362,6417.766974049441
-165904.8107268141,4409.003039267856,14093.02451678627
-152100.467279472,-33208.10823394954,19537.3633581548
-15471.63255778318,-49392.53330778614,1777.755493164063
-13345.257691178,-58657.02776217699,6566.969795431582
-118197.6106522682,-7381.329773926653,46391.36328125
-153494.1903809727,-30335.28264768948,36403.33743707889
-48413.07069372237,-80709.49270468969,8792.462751017647
-170199.5148553895,-45.74868863062886,46391.36328125
-159637.1770686487,-8510.241961373049,42163.75670438421
-94264.57427970419,-7429.24678850218,6379.433001247206
-34676.82301563477,-54050.37236070971,8094.378240395626
-114532.2614591332,-72878.64519187811,6059.630787108199
-118576.7067096979,-17594.26574474547,42714.89228811936
-43783.19368930455,202.9846720758815,6519.277296468522
-27565.4955135751,-6349.551013641857,6727.051828744616
-115545.1252094396,-87512.07150712585,7835.268894724686
-120779.7703396522,21934.9280210994,6440.94873046875
-147094.2602694244,-31429.24227169389,25543.98026927241
-82775.97239936012,-51796.61216863206,22202.705078125
-125827.5177158644,-45372.33087029417,29800.58474006415
-135258.2967018623,-69074.23713639256,25063.2459683552
-98869.1955081308,-52373.29053875397,31386.73018544175
-155728.2982559357,3695.32062772169,6440.94873046875
-165776.2229751288,4143.949838731173,16654.19076352064
-99874.6689932478,-70528.7513471159,21039.67135572652
-103189.3693385943,-4140.995362437506,46391.36328125
-20025.38382072212,-100110.8393615998,1777.755493164063
-50105.17934725424,-25751.70104234145,7072.984211749516
-151268.2334154834,-12277.63499575354,6440.94873046875
-107950.1070214522,-31521.9735168901,41322.83723653473
-109574.9287847885,12721.8169735666,23327.1211473397
-117187.7697513964,28051.31951973439,6439.093740118606
-114165.1518247184,-21266.35895435838,24303.79463944616
-72659.75817044482,-54887.96331390014,7030.752722152008
-134872.2158053739,-114426.2919014675,6074.832962053462
-81153.43074849517,-10816.23634245368,6384.639557718842
-117826.9550779963,12975.45574611425,27371.83589954969
-103730.884379239,-15001.12333124764,6469.209261775056
-68593.15117926031,-78355.27534955376,2284.936512919812
-99026.31751970685,-9021.665895199536,39081.77242760579
-158359.1544758273,-39265.05287233077,6036.7138671875
-125759.7177500577,-105552.6300259842,6076.78175778668
-158376.0424495631,-30607.17891259688,26342.67529901156
-114274.1103268505,-21041.76288106027,9337.77196903279
-125122.2045976494,-6421.349931435228,6440.94873046875
-79205.23532577611,-94749.79254086128,1777.755493164063
