date,followers,username,tweet,lat,lon
Sat Jul 09 08:27:48 PDT 2016,429,capи,#tb Venäjälle (tahdon takaisin) @ St Basil Cathedral, Red Square, Moscow https://t.co/6TB9xqe3Ea,55.787888,37.67894
Sat Jul 09 04:29:22 PDT 2016,580,Em,St. Basil's Cathedral > Cinderella's Castle @ Красная Площадь Москва https://t.co/actk13OBtk,55.566566,37.561455
Sat Jul 09 01:06:46 PDT 2016,159,Backpackero,I've always been eager to get in front of this lovely cathedral since ages!! It def looks like a… https://t.co/33ozdMrIW2,55.7547,37.62143
Sat Jul 09 00:37:22 PDT 2016,1919,Esther,Beautiful frescos inside Our Lady of Smolensk Cathedral in Novodevichy Convent.  Happy Saturday… https://t.co/BeAG1JXAKT,55.72597,37.556583
Fri Jul 08 23:22:23 PDT 2016,123,Georgina Wheeler,Lovely run in the morning #Moscow #christthesaviour #cathedral @ Cathedral of Christ the Saviour https://t.co/1NtdDuT41b,55.744446,37.605556
Fri Jul 08 12:17:47 PDT 2016,84,Александр Хованский,Я люблю Москву! #хованский #москва @ Moscow Cathedral Mosque https://t.co/hl1ttFLK6h,55.779167,37.626945
Fri Jul 08 12:16:14 PDT 2016,84,Александр Хованский,Я люблю Москву! #хованский #москва @ Moscow Cathedral Mosque https://t.co/vLt7TsMzWz,55.779167,37.626945
Fri Jul 08 05:53:30 PDT 2016,4066,Ben Castle,Obligatory Moscow photo... @ Saint Basil's Cathedral https://t.co/P15yxdbD9j,55.7525,37.623055
Fri Jul 08 04:42:20 PDT 2016,1705,NEBO,photo from silver.ru | The Cathedral of the Mantle of Our Lady on the Canal (colloquial name –… https://t.co/lLbxg1UEwm,55.7525,37.623055
Fri Jul 08 04:19:54 PDT 2016,36,Дарья,Just posted a photo @ Cathedral of Christ the Saviour https://t.co/Kc3j9zVBHa,55.744446,37.605556
Thu Jul 07 13:40:02 PDT 2016,142,Ksenia,Ваааасечка ❤️ @ St. Basil's Cathedral - Moscow https://t.co/nGyabgs5kw,55.75368,37.621555
Thu Jul 07 13:16:36 PDT 2016,364,Liza Orloff,It's even better in person !! #bucketlist #moscow #redsquare  #stbasil #cathedral @ Red Square,… https://t.co/ntJQezwOoG,55.7547,37.62143
Wed Jul 06 23:14:59 PDT 2016,28,Juandiab,Me encanta Moscow 😍😍😍 #photooftheday #moscow #russia #summer @ Cathedral of Christ the Saviour https://t.co/u8WKKzKACb,55.744446,37.605556
Wed Jul 06 13:32:23 PDT 2016,420,Katya Allegrova,Не хочу быть горожанином, хочу быть туристом ( @ Saint Basil's Cathedral https://t.co/x5Bgsv4GtN,55.7525,37.623055
Wed Jul 06 06:34:07 PDT 2016,518,Neeraj Khanna,Egos & Icons 📸 @ Saint Basil's Cathedral https://t.co/XcsfKdSfUM,55.7525,37.623055
Tue Jul 05 13:28:12 PDT 2016,73,Veronika Maraeva,Just posted a photo @ Cathedral of Christ the Saviour https://t.co/vCDUn0buRV,55.744446,37.605556
Tue Jul 05 09:54:09 PDT 2016,1004,elendra,Αmazing! @ Saint Basil's Cathedral https://t.co/P8vNEG5yOZ,55.7525,37.623055
Tue Jul 05 09:04:36 PDT 2016,103,Светлая девочка☀️,Дорога домой , а в голове образ величественного Храма Христа Спасителя! @ Cathedral of Christ… https://t.co/bYFLXD90A2,55.744446,37.605556
Tue Jul 05 04:47:41 PDT 2016,3418,Pavel Bednyakov,Ураза-байрам @ Moscow Cathedral Mosque https://t.co/utL6igehhv,55.779167,37.626945
Mon Jul 04 07:02:19 PDT 2016,469,NΛY♡,Just posted a photo @ Moscow Cathedral Mosque https://t.co/VInmABpEh7,55.779167,37.626945
Mon Jul 04 04:22:08 PDT 2016,996,Alexandra Cattoni,Visit Saint Basil's Cathedral in Red Square ✔️ @ Red Square, Moscow (Красная площадь, Москва) https://t.co/spZ2nZ7H8C,55.7547,37.62143
Mon Jul 04 03:09:55 PDT 2016,1886,Franz Orban,Moscow! 💒 #moscow #russia #russkie #stbasil #cathedral #redsquare #moscu #kremlin @ Red Square,… https://t.co/Ea8NdutCpe,55.7547,37.62143
Sun Jul 03 13:15:17 PDT 2016,902,wina,St. Basil 😍💓 @ St Basil Cathedral, Red Square, Moscow https://t.co/LgePf6QmkD,55.788128,37.679348
Sun Jul 03 12:38:00 PDT 2016,902,wina,St. Basil 😍 @ St Basil Cathedral, Red Square, Moscow https://t.co/nNKSsrXl5w,55.788128,37.679348
Sun Jul 03 12:15:47 PDT 2016,131550,Женя Малахова,#бог есть . ☄ @ Cathedral of Christ the Saviour https://t.co/8Cimb5UmHP,55.744446,37.605556
Sun Jul 10 19:10:22 PDT 2016,731,AestheticsLab,Moscow #travel #moscow #sightseeing @ Moscow, Russia https://t.co/jndKmbbVNc,55.7522,37.6156
Sun Jul 10 08:14:20 PDT 2016,414,Alya Elouissi,😊☀☀🇷🇺 #redsquare #moscow #beautiful #city #sightseeing #summer #day #great #time #sun #russia… https://t.co/twxjrgz0kI,55.7547,37.62143
Fri Jul 08 11:27:11 PDT 2016,77,Leandro S,Sightseeing from the boat  #niceview #cremlin #river #moskov… https://t.co/iE14V8Dk9t,55.75491,37.617207
